Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,Vic,20505,Wellington,Inner regional,GP Telehealth (patient-end),1.48,2.83,$250 
2017-18,Vic,20505,Wellington,Inner regional,Other Non-referred Medical Practitioner,2.08,3.37,$97 
2017-18,Vic,20505,Wellington,Inner regional,Asthma Cycle of Care PIP,0.18,0.18,$10 
2017-18,Vic,20505,Wellington,Inner regional,Cervical Smear PIP,0.21,0.21,$12 
2017-18,Vic,20505,Wellington,Inner regional,Diabetes Mellitus Annual Cycle of Care PIP,1.41,1.42,$63 
2017-18,Vic,20505,Wellington,Inner regional,GP subtotal - PIP,1.8,1.81,$85 
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),83.21,342.31,"$15,181 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),82.41,441.03,"$21,116 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),87.22,574.6,"$28,426 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),100,"1,121.55","$60,339 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),87.8,583.18,"$29,129 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),93.39,679.21,"$33,997 "
2017-18,Vic,20505,Wellington,Inner regional,GP attendances (total),82.4,490.28,"$24,420 "
2017-18,Vic,20505,Wellington,Inner regional,Midwifery,0.04,0.22,$16 
2017-18,Vic,20505,Wellington,Inner regional,Nurse Practitioners,0.54,1.88,$78 
2017-18,Vic,20505,Wellington,Inner regional,Practice Nurse/Aboriginal Health Worker,9.62,15.06,$188 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),1.22,2.05,$63 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),3.54,8.69,$305 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),10.49,15.7,$234 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),30.74,51.69,$650 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),10.15,17.16,$282 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),11.28,19.04,$316 
2017-18,Vic,20505,Wellington,Inner regional,Nursing and Aboriginal Health Workers (total),9.05,15.34,$250 
2017-18,Vic,20505,Wellington,Inner regional,Early Intervention Services for Children,0.1,0.1,$23 
2017-18,Vic,20505,Wellington,Inner regional,Psychiatry,0.99,3.24,$623 
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),20.78,46.44,"$4,912 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),25.04,62.97,"$5,427 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),40.1,117.11,"$9,094 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),66.49,247.89,"$18,178 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),36.12,109.56,"$8,806 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),39.58,120.69,"$9,661 "
2017-18,Vic,20505,Wellington,Inner regional,Specialist attendances (total),32.78,98.79,"$7,979 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health subtotal - Mental Health Care,8.34,44.39,"$4,691 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Clinical Psychologist,4.05,20.94,2647
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Other Allied Mental Health,0.69,3.45,$274 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Other Psychologist,4.23,20,"$1,770 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health subtotal - Optometry,24.94,33.61,"$1,561 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health subtotal - Other,6.26,21.65,"$1,164 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Audiology,NP,NP,NP
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diabetes Education,0.22,0.38,$21 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Dietetics,0.86,1.49,$80 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Occupational Therapy,0.13,0.41,$31 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Other Allied Health,NP,NP,NP
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Podiatry,5.02,18.33,$971 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Speech Pathology,0.2,0.75,$53 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health subtotal - Physical Health Care,4.38,15.18,$808 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Chiropractic Services,0.58,2.05,$109 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Exercise Physiology,0.36,0.79,$41 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Osteopathy,0.94,3.22,$172 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Physiotherapy,2.76,9.12,$486 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),19.75,59.52,"$4,906 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),29.22,96.6,"$8,185 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),48.84,136.61,"$9,062 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),70.28,272.38,"$14,681 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),35.33,114.83,"$8,224 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),41.01,138.79,"$10,012 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Allied Health attendances (total),29.4,89.77,"$6,354 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),19.32,33.91,"$2,935 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),28.07,59.77,"$6,870 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),44.62,115.15,"$15,995 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),60.58,190.66,"$29,850 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),32.78,78.98,"$10,284 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),37.95,98.19,"$11,932 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diagnostic Imaging (total),27.36,58.88,"$8,560 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP After-hours (non-urgent),22.21,48.97,"$2,739 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP After-hours (urgent),4.57,6.98,$893 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP subtotal - After-hours,24.64,55.95,"$3,633 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Chronic Disease Management Plan,12.68,30.99,"$3,321 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Health Assessment,2.58,2.63,$579 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Mental Health,11.27,19.71,"$1,617 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Multidisciplinary Case Conference,0.17,0.24,$26 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP subtotal - Enhanced Primary Care,22.43,54.11,"$5,612 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Medication Management Review (domiciliary),0.25,0.25,$38 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Medication Management Review (residential),0.29,0.29,$31 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Acupuncture,0.29,2.18,$103 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Long (Level C),32.55,70.93,"$5,175 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Focussed Psychological Strategies and Family Group Therapy,0.18,0.63,$82 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Prolonged - Imminent danger of death,0.03,0.03,$8 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Prolonged (Level D),4.28,6.77,$747 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Short (Level A),5.54,7.62,$135 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Standard (Level B),73.59,351.47,"$13,315 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP subtotal - Other,77.65,456.09,"$19,986 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Other Non-referred Medical Practitioner,8.15,16.44,$420 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Asthma Cycle of Care PIP,0.17,0.17,$9 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Cervical Smear PIP,0.24,0.24,$15 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Diabetes Mellitus Annual Cycle of Care PIP,0.8,0.8,$43 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP subtotal - PIP,1.2,1.21,$66 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),70,363.84,"$17,203 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),74.38,438.68,"$21,897 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),91.52,653.97,"$33,515 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),100,"1,359.06","$77,097 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),79.65,567.35,"$29,298 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),83.74,643.59,"$33,675 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,GP attendances (total),75.38,487.58,"$24,717 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Midwifery,0.07,0.69,$47 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nurse Practitioners,0.38,0.69,$23 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Practice Nurse/Aboriginal Health Worker,3.48,6.49,$78 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),0.64,0.85,$16 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),1.32,3.36,$144 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),4.52,7.35,$100 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),19.73,41.68,$557 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.89,7.88,$148 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),4.64,9.6,$209 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.1,6.07,$84 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Early Intervention Services for Children,0.04,0.04,$10 
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Psychiatry,2.31,16.68,"$2,971 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),16.96,38.92,"$4,306 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),20.86,65.06,"$7,198 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),40.09,134.05,"$12,402 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),60.24,231.31,"$17,438 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),28.2,90.98,"$8,643 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),31.39,104.8,"$10,222 "
2017-18,Vic,20601,Brunswick - Coburg,Major cities - medium SES,Specialist attendances (total),24.85,76.53,"$6,991 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health subtotal - Mental Health Care,8.94,46.49,"$4,912 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Clinical Psychologist,4.17,21.03,2688
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Other Allied Mental Health,0.91,4.8,$394 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Other Psychologist,4.48,20.66,"$1,830 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health subtotal - Optometry,26.12,34.71,"$1,597 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health subtotal - Other,4.83,16.06,$868 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Audiology,NP,NP,NP
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diabetes Education,0.12,0.26,$14 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Dietetics,0.65,1.16,$63 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Occupational Therapy,0.24,0.67,$45 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Other Allied Health,NP,NP,NP
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Podiatry,3.87,13.21,$701 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Speech Pathology,0.17,0.61,$39 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health subtotal - Physical Health Care,3.51,12.35,$662 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Chiropractic Services,0.4,1.46,$77 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Exercise Physiology,0.18,0.53,$29 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Osteopathy,0.64,2.02,$109 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Physiotherapy,2.46,8.35,$447 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),21.17,62.34,"$5,186 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),29.91,98.21,"$8,391 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),48.82,126.2,"$8,722 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),63.4,218.71,"$12,045 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),35.99,109.61,"$8,040 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),41.13,132.48,"$9,871 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Allied Health attendances (total),30.3,84.33,"$6,015 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),21.58,38.02,"$3,275 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),28.58,62.53,"$7,195 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),43.25,111.3,"$15,423 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),58.63,188.09,"$28,952 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),33.73,82.45,"$10,685 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),38,99.4,"$12,005 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diagnostic Imaging (total),29.02,63.73,"$9,226 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP After-hours (non-urgent),15.87,35.65,"$2,112 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP After-hours (urgent),4.31,6.52,$838 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP subtotal - After-hours,18.43,42.17,"$2,950 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Chronic Disease Management Plan,10.65,25.6,"$2,755 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Health Assessment,2.7,2.75,$525 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Mental Health,11.36,18.99,"$1,557 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Multidisciplinary Case Conference,0.25,0.43,$40 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP subtotal - Enhanced Primary Care,20.9,48.43,"$4,964 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Medication Management Review (domiciliary),0.36,0.36,$56 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Medication Management Review (residential),0.3,0.31,$33 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Acupuncture,0.44,3.78,$178 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Long (Level C),31.52,64.84,"$4,733 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Focussed Psychological Strategies and Family Group Therapy,0.15,0.51,$67 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Pregnancy Support Counselling,0.03,0.05,$4 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Prolonged - Imminent danger of death,NP,NP,NP
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Prolonged (Level D),3.74,5.78,$646 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Short (Level A),5.28,7.16,$127 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Standard (Level B),75.24,326.24,"$12,412 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP subtotal - Other,79.03,417.05,"$18,431 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Other Non-referred Medical Practitioner,4.85,8.66,$255 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Asthma Cycle of Care PIP,0.33,0.33,$14 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Cervical Smear PIP,0.23,0.23,$13 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Diabetes Mellitus Annual Cycle of Care PIP,1.05,1.05,$55 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP subtotal - PIP,1.53,1.6,$82 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),72.32,320.75,"$15,257 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),75.16,399.78,"$20,241 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),91.43,546.39,"$27,849 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),97.83,"1,195.36","$67,629 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),80.92,509.26,"$26,426 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),84.23,569.52,"$29,999 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,GP attendances (total),77.26,442.66,"$22,477 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Midwifery,0.06,0.41,$27 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nurse Practitioners,0.72,1.18,$32 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Practice Nurse/Aboriginal Health Worker,2.09,2.97,$37 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),0.72,0.93,$17 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),1.82,3.22,$101 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.57,4.66,$60 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),9.43,16.48,$329 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),2.85,4.55,$96 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.4,5.66,$134 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),2.25,3.32,$55 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Early Intervention Services for Children,0.04,0.04,$10 
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Psychiatry,2.53,20.74,"$3,776 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),20.06,51.46,"$6,068 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),23.53,73.16,"$7,928 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),43.43,149.46,"$14,317 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),60.21,240.04,"$19,310 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),31.67,105.26,"$10,288 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),34.73,119.68,"$11,788 "
2017-18,Vic,20602,Darebin - South,Major cities - medium SES,Specialist attendances (total),28.28,89.33,"$8,629 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health subtotal - Mental Health Care,6.03,29.43,"$3,123 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Clinical Psychologist,2.84,13.67,1736
2017-18,Vic,20603,Essendon,Major cities - medium SES,Other Allied Mental Health,0.36,1.59,$130 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Other Psychologist,3.17,14.17,"$1,257 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health subtotal - Optometry,27.45,36.09,"$1,668 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health subtotal - Other,5.27,17.71,$964 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Audiology,0.2,0.45,$13 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diabetes Education,0.1,0.17,$9 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Dietetics,0.62,1.09,$59 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Occupational Therapy,NP,NP,NP
2017-18,Vic,20603,Essendon,Major cities - medium SES,Other Allied Health,NP,NP,NP
2017-18,Vic,20603,Essendon,Major cities - medium SES,Podiatry,4.2,14.62,$777 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Speech Pathology,0.24,1.11,$86 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health subtotal - Physical Health Care,3.51,12.12,$648 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Chiropractic Services,0.35,1.33,$71 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Exercise Physiology,0.23,0.66,$36 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Osteopathy,0.58,1.85,$100 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Physiotherapy,2.49,8.28,$442 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),22.82,57.53,"$4,419 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),27.28,72.57,"$5,773 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),47.8,109.64,"$6,842 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),64.01,221.28,"$12,052 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),35.41,95.34,"$6,403 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),40.36,112.84,"$7,602 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Allied Health attendances (total),30.18,76.86,"$5,136 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),24.84,45.55,"$3,947 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),31.22,69.71,"$8,204 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),47.76,127.84,"$18,216 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),61.28,203.89,"$32,025 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),37,93.04,"$12,281 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),41.69,112.36,"$13,951 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diagnostic Imaging (total),32.05,72.63,"$10,518 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP After-hours (non-urgent),25.74,56.06,"$3,093 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP After-hours (urgent),3.5,5.4,$697 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP subtotal - After-hours,27.38,61.45,"$3,789 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Chronic Disease Management Plan,11.55,26.94,"$2,923 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Health Assessment,2.56,2.62,$563 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Mental Health,8.58,14.45,"$1,182 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Multidisciplinary Case Conference,0.17,0.2,$24 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP subtotal - Enhanced Primary Care,19.31,44.72,"$4,755 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Medication Management Review (domiciliary),0.18,0.18,$28 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Medication Management Review (residential),0.32,0.32,$34 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Acupuncture,0.29,2.06,$99 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Long (Level C),30.71,64.97,"$4,725 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Focussed Psychological Strategies and Family Group Therapy,0.07,0.2,$26 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Prolonged - Imminent danger of death,0.04,0.04,$10 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Prolonged (Level D),3.81,5.45,$592 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Short (Level A),5.3,7.38,$131 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Standard (Level B),77.03,359.67,"$13,641 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP subtotal - Other,81.15,458.93,"$19,728 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,Vic,20603,Essendon,Major cities - medium SES,Other Non-referred Medical Practitioner,9.03,19.1,$499 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Asthma Cycle of Care PIP,0.18,0.18,$8 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Cervical Smear PIP,0.16,0.16,$10 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Diabetes Mellitus Annual Cycle of Care PIP,0.74,0.75,$41 
